region,long,lat,group,order,subregion,brate1544_thsnds_ch_pct
alabama,-88.006317138671875,30.79648208618164,1,37,NA,-5.3939962
alabama,-88.01777648925781,30.802209854125977,1,38,NA,-5.3939962
alabama,-88.03496551513672,30.790752410888672,1,39,NA,-5.3939962
alabama,-88.04642486572266,30.756376266479492,1,40,NA,-5.3939962
alabama,-88.052154541015625,30.727725982666016,1,41,NA,-5.3939962
alabama,-88.052154541015625,30.710538864135742,1,42,NA,-5.3939962
alabama,-88.06360626220703,30.687620162963867,1,43,NA,-5.3939962
alabama,-88.06934356689453,30.681888580322266,1,44,NA,-5.3939962
alabama,-88.08080291748047,30.630325317382813,1,45,NA,-5.3939962
alabama,-88.08080291748047,30.613136291503906,1,46,NA,-5.3939962
alabama,-88.097991943359375,30.607406616210938,1,47,NA,-5.3939962
alabama,-88.10944366455078,30.595945358276367,1,48,NA,-5.3939962
alabama,-88.11518096923828,30.584487915039063,1,49,NA,-5.3939962
alabama,-88.10944366455078,30.555837631225586,1,50,NA,-5.3939962
alabama,-88.12091064453125,30.481355667114258,1,51,NA,-5.3939962
alabama,-88.12091064453125,30.441247940063477,1,52,NA,-5.3939962
alabama,-88.12664031982422,30.389680862426758,1,53,NA,-5.3939962
alabama,-88.13236999511719,30.361034393310547,1,54,NA,-5.3939962
alabama,-88.143829345703125,30.34384536743164,1,55,NA,-5.3939962
alabama,-88.16101837158203,30.338115692138672,1,56,NA,-5.3939962
alabama,-88.17247772216797,30.338115692138672,1,57,NA,-5.3939962
alabama,-88.18965911865234,30.355304718017578,1,58,NA,-5.3939962
alabama,-88.22404479980469,30.378223419189453,1,59,NA,-5.3939962
alabama,-88.2354965209961,30.395410537719727,1,60,NA,-5.3939962
alabama,-88.28706359863281,30.401142120361328,1,61,NA,-5.3939962
alabama,-88.31571197509766,30.401142120361328,1,62,NA,-5.3939962
alabama,-88.33290100097656,30.401142120361328,1,63,NA,-5.3939962
alabama,-88.35009765625,30.424060821533203,1,64,NA,-5.3939962
alabama,-88.39020538330078,30.412599563598633,1,65,NA,-5.3939962
alabama,-88.40738677978516,30.733457565307617,1,66,NA,-5.3939962
alabama,-88.4188461303711,30.99701690673828,1,67,NA,-5.3939962
alabama,-88.43030548095703,31.12306785583496,1,68,NA,-5.3939962
alabama,-88.4532241821289,31.432466506958008,1,69,NA,-5.3939962
alabama,-88.46468353271484,31.696025848388672,1,70,NA,-5.3939962
alabama,-88.47614288330078,31.89082908630371,1,71,NA,-5.3939962
alabama,-88.43030548095703,32.22314453125,1,72,NA,-5.3939962
alabama,-88.43030548095703,32.30908966064453,1,73,NA,-5.3939962
alabama,-88.39020538330078,32.5783805847168,1,74,NA,-5.3939962
alabama,-88.35009765625,32.92215347290039,1,75,NA,-5.3939962
alabama,-88.33863067626953,32.98517990112305,1,76,NA,-5.3939962
alabama,-88.29853057861328,33.283119201660156,1,77,NA,-5.3939962
alabama,-88.275604248046875,33.52949142456055,1,78,NA,-5.3939962
alabama,-88.25269317626953,33.735755920410156,1,79,NA,-5.3939962
alabama,-88.20685577392578,34.062339782714844,1,80,NA,-5.3939962
alabama,-88.20685577392578,34.07952880859375,1,81,NA,-5.3939962
alabama,-88.1839370727539,34.3144416809082,1,82,NA,-5.3939962
alabama,-88.166748046875,34.463409423828125,1,83,NA,-5.3939962
alabama,-88.14955139160156,34.58373260498047,1,84,NA,-5.3939962
alabama,-88.10944366455078,34.89885711669922,1,85,NA,-5.3939962
alabama,-88.13236999511719,34.90459060668945,1,86,NA,-5.3939962
alabama,-88.166748046875,34.9504280090332,1,87,NA,-5.3939962
alabama,-88.18965911865234,34.99626541137695,1,88,NA,-5.3939962
alabama,-88.1839370727539,35.013450622558594,1,89,NA,-5.3939962
alabama,-87.98912811279297,35.013450622558594,1,90,NA,-5.3939962
